001 l 1 b 1;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=47,903,63,104;Augezdecki-01a_PT08_403 l 1 b 1; ※
001 l 7 b 29;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1732,256,39,110;Augezdecki-01a_PT08_403 l 7 b 29; ※
001 l 7 b 30;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1796,256,38,110;Augezdecki-01a_PT08_403 l 7 b 30; ※
001 l 7 b 31;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1855,256,38,110;Augezdecki-01a_PT08_403 l 7 b 31; ※
001 l 7 b 32;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1918,256,28,110;Augezdecki-01a_PT08_403 l 7 b 32; ※
001 l 7 b 33;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1970,256,37,110;Augezdecki-01a_PT08_403 l 7 b 33; ※
001 l 7 b 34;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2041,256,35,110;Augezdecki-01a_PT08_403 l 7 b 34; ※
001 l 7 b 35;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2096,256,34,110;Augezdecki-01a_PT08_403 l 7 b 35; ※
001 l 7 b 36;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2153,256,37,110;Augezdecki-01a_PT08_403 l 7 b 36; ※
001 l 7 b 37;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2213,256,37,110;Augezdecki-01a_PT08_403 l 7 b 37; ※
001 l 7 b 38;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2271,256,35,110;Augezdecki-01a_PT08_403 l 7 b 38; ※
001 l 7 b 39;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2333,256,35,110;Augezdecki-01a_PT08_403 l 7 b 39; ※
001 l 7 b 40;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2387,256,37,110;Augezdecki-01a_PT08_403 l 7 b 40; ※
001 l 7 b 41;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2445,256,41,110;Augezdecki-01a_PT08_403 l 7 b 41; ※
001 l 7 b 42;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=2503,256,43,110;Augezdecki-01a_PT08_403 l 7 b 42; ※
001 l 8 b 1;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=929,108,41,93;Augezdecki-01a_PT08_403 l 8 b 1; ※
001 l 8 b 2;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=997,108,35,93;Augezdecki-01a_PT08_403 l 8 b 2; ※
001 l 8 b 3;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1065,108,56,93;Augezdecki-01a_PT08_403 l 8 b 3; ※
001 l 8 b 4;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1146,108,55,93;Augezdecki-01a_PT08_403 l 8 b 4; ※
001 l 8 b 5;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1237,108,40,93;Augezdecki-01a_PT08_403 l 8 b 5; ※
001 l 8 b 6;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1309,108,32,93;Augezdecki-01a_PT08_403 l 8 b 6; ※
001 l 8 b 7;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1365,108,31,93;Augezdecki-01a_PT08_403 l 8 b 7; ※
001 l 8 b 8;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1421,108,26,93;Augezdecki-01a_PT08_403 l 8 b 8; ※
001 l 8 b 9;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1478,108,23,93;Augezdecki-01a_PT08_403 l 8 b 9; ※
001 l 8 b 10;file:Augezdecki-01a_PT08_403.djvu?djvuopts=&page=1&highlight=1540,108,60,93;Augezdecki-01a_PT08_403 l 8 b 10; ※
